Author_Handle,tweet_count
antoasb,1
vickypalmaerpel,1
kun_mugai,1
CascadasUn,1
JosuePereire,1
maatigt_,1
85Estebancer,1
bvndito0,1
drantonioquispe,1
soundingdlwn,1
tetigh,1
willygarrido,1
elcancillercom,1
mileibarrial,1
_SrMorales,1
gustav0cardenas,1
HMarowskiC,1
patriotacuban,1
NegroCensurado,1
SantiagoDLNWS,1
soylablu,1
oscar_puente_,1
mcucolo57,1
AntoTruth,1
zorrotapatio,1
TANACHILE,1
martaxsad,1
apazmb,1
m_astla,1
nicoperezlozano,1
Superasturianu,1
LajeAntonio,1
villago,1
grecia2016,1
rafaelverao,1
lutero_luis,1
jesilove_,1
ravilusa,1
Marian_A_12,1
previlma,1
meioindep,1
Caritocoram2,1
AkelRegina,1
m_riquelmeg,1
pierolei,1
FrancoDaneriG,1
magariovero,1
Tatiana85100241,1
GloriaIzquierda,1
okdiario,1
aetchebarne,1
paeguiguren,1
VianobaViviana,1
Cata_xlo_unico,1
maxiferraro,1
CB97kiowo,1
martin_maglio,1
milenaeldan,1
MeDicenWally,1
ucnnss,1
H3ktor14,1
DiegoSepulveda,1
ancapsu,1
MarcosdeQuinto,1
amorenoe,1
pmolinaarmas,1
Chismeteandoo,1
alejandrosajor,1
CriteriaChile,1
yuyufernan,1
Ramon4lan,1
Nunca_Zurdo,1
nacido_aC,1
jixiezone_,1
CathyJuvinao,1
Kein_Sylvan,1
HadesFFGC,1
patoenero,1
mr_conservador_,1
gigantepaso,1
Monsevlarrain,1
Caroefi80,1
DonJermiNoumor,1
Edoobrp,1
Waifu_Argentina,1
CEOofChile,1
Flo_MDX,1
juanchacins,1
JocheTonioGV,1
Roth001Luis,1
TanaBorsottob,1
willittow,1
ArteEsEtica,1
PSChile,1
lacorrientek,1
luisanayars,1
angiesalcedoSB,1
kurketo64,1
SoyMmadrigal,1
DatosElectChile,1
ccmariaco,1
YamidLopezS,1
carolhsolis,1
Monomante71,1
altoque_ok,1
AmarillaMood,1
HippiesConOsde,1
charlescaissa,1
Carolnauta,1
HOLLMANMORRIS,1
cogollolarrain,1
pubera,1
PamphletsY,1
Hugo_Gutierrez_,1
domipatriota,1
Josefcolagos,1
alexismendezc,1
TunanteRetirado,1
AxelCallis,1
ElTrumpista,1
DivanPoduje,1
Subero78,1
isidoraalcalde,1
Felipe33ingeco,1
MaturanaRM,1
rtmr2022,1
realHenryBoys,1
capibarameme,1
Lovely_Sagitta,1
ElKastista,1
Ricardo67891742,1
mirasanjuan,1
pepecriollo_,1
santyagos_Rcca,1
Carlotajones35,1
DrRepublicano,1
borisbarrera,1
nicoleperiodist,1
KellyValdebeni2,1
Maanuignacio,1
daniellperezl,1
botcaszely20,1
Goku89Xdjkjk,1
Despinozacuevas,1
v8_falcon,1
Nico2021cl,1
Apolinio_73,1
huesodesepia,1
palabo,1
Pao_Tacchini,1
XavierFiestas,1
MANUELJOSESOTO2,1
juangamonalh,1
pacoperkin,1
4everleon,1
LDavidCL_,1
Nangelicanangel,1
TomCast27757620,1
DebiaEduardo,1
vmoralesa,1
miguelurreaX,1
empaladosok,1
ciudadedeus,1
cataugarte,1
ximero51,1
ElInformante_1,1
ClaudioScaletta,1
novuelvesdelsur,1
ClauDePizan,1
