,degree,in_degree,out_degree,betweenness,harmonic_closeness,pagerank,eigenvector,k_core,clustering
AndreaMarGon_,1,1,0,0.0,1.5,0.0013753675970520213,3.0301548790030126e-06,1,0
AndresAH1984,2,2,0,0.0,2.0,0.002408914787746307,5.141418025745184e-07,1,0
AntonioCR1974,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Apapell,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Aquelarre118,1,1,0,0.0,1.0,0.00144900797511653,2.62540494931669e-07,1,0
AreliPaz,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
AristeguiOnline,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
ArrepentidosLLA,6,1,5,1.2617659676483206e-05,1.0,0.00144900797511653,2.62540494931669e-07,1,0
ArtemEnbaja,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
ArtemJoyero1,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
ArturoVill7,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Avillegas_80,1,1,0,0.0,4.5,0.0016417736854249815,1.9635841183431068e-05,1,0
Azul2Rc,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
BancandoTatoski,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
BartoloOpina,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Bati_Yois,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
BenavidesMunoz,1,1,0,0.0,1.0,0.0013690157407307154,2.62540494931669e-07,1,0
BetoMendeleiev_,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Betocoralg,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
BioSaura,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
BiondiniCesar,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
BlondeBombCLP,1,1,0,0.0,1.0,0.0016089924438881596,2.62540494931669e-07,1,0
Blue_Dani_,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
BotCheckerCL,6,4,2,1.8926489514724808e-05,4.0,0.003848775006690972,1.0173444178602173e-06,2,0
BotDe20Millones,1,1,0,0.0,1.0,0.0016089924438881596,2.62540494931669e-07,1,0
Brismall,1,1,0,0.0,1.5,0.0029041538044949694,3.0301548790030126e-06,1,0
CFKArgentina,3,0,3,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
CNNChile,31,0,31,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,3,0
CTercermundista,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Cambiadechannel,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Camilo_Tavi,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
CamusdeAcuario4,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Canal_de_JP,1,1,0,0.0,3.0,0.0014161668394958823,0.22941135219366288,1,0
Canallalibertar,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Caplevi1540,4,4,0,0.0,4.0,0.0015666309649257793,1.0173444178602173e-06,3,0
CarlosMaslaton,4,3,1,1.5141191611779846e-05,4.333333333333334,0.004691606940042178,2.567427256685947e-05,1,0
CarlosTorresF_,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Carloszzasa,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
